Gene_stable_ID	Gene_name	Gene_description	Gene_type	Chromosome.scaffold_name	Gene_start_.bp.	Gene_end_.bp.	Strand	Transcript_stable_ID	Transcript_start_.bp.	Transcript_end_.bp.	NCBI_gene_ID	RefSeq_ID	GO_term_name
WBGene00017402	F12E12.1	?	protein_coding	II	3741884	3742504	+	F12E12.1	3741884	3742504	173718	NM_062238	?
WBGene00017405	bath-31	BTB_and_MATH_domain_containing	protein_coding	II	3731973	3733203	+	F12E12.4	3731973	3733203	173717	NM_062234	?
WBGene00017408	sdz-11	SKN-1_Dependent_Zygotic_transcript	protein_coding	II	3751261	3752284	-	F12E12.7	3751261	3752284	173719	NM_062239	?
WBGene00017413	F13A2.4	?	protein_coding	V	4398719	4399503	-	F13A2.4	4398719	4399503	184395	NM_071809	protein_binding
WBGene00017416	F13B6.1	?	protein_coding	IV	7456748	7458035	+	F13B6.1	7456748	7458035	184407	NM_068790	developmental_process
WBGene00017417	F13B6.2	?	protein_coding	IV	7458918	7460341	-	F13B6.2	7458918	7460341	184408	NM_068791	?
WBGene00017418	F13B6.3	?	protein_coding	IV	7461964	7465957	-	F13B6.3	7461964	7465957	177516	NM_068792	?
WBGene00017419	F13B9.1	?	protein_coding	X	8287261	8294515	+	F13B9.1a;F13B9.1b;F13B9.1c	8287261	8294514;8294515	181084	NM_076999;NM_076998;NM_001029386	Golgi_membrane;COPII_vesicle_coating
WBGene00017420	F13B9.2	?	protein_coding	X	8285683	8286778	+	F13B9.2	8285683	8286778	181083	NM_076997	?
WBGene00017421	cutl-29	CUTiclin-Like	protein_coding	X	8262423	8271021	-	F13B9.6	8262423	8271021	181081	NM_076994	integral_component_of_membrane;membrane
WBGene00017422	F13C5.1	?	protein_coding	X	602172	604922	+	F13C5.1.1;F13C5.1.2	602172	604789;604922	180411	NM_075726	?
WBGene00017423	F13C5.2	?	protein_coding	X	593960	596299	+	F13C5.2	593960	596299	180410	?	?
WBGene00017426	F13C5.5	?	protein_coding	X	604927	608492	-	F13C5.5	604927	608492	180412	NM_075727	integral_component_of_membrane;membrane
WBGene00017427	acp-5	ACid_Phosphatase_family	protein_coding	X	5829410	5832027	+	F13D11.1	5829410	5832027	180849	NM_076576	integral_component_of_membrane;acid_phosphatase_activity;membrane;dephosphorylation
WBGene00017428	F13D11.3	?	protein_coding	X	5804387	5805922	-	F13D11.3	5804387	5805922	180847	NM_076574	protein_tyrosine/serine/threonine_phosphatase_activity;peptidyl-tyrosine_dephosphorylation;phosphatase_activity;protein_dephosphorylation;dephosphorylation
WBGene00017429	F13D11.4	?	protein_coding	X	5831918	5834855	-	F13D11.4.1;F13D11.4.2	5831918	5834805;5834855	184416	NM_076577	steroid_biosynthetic_process;3-beta-hydroxy-delta5-steroid_dehydrogenase_activity;oxidation-reduction_process;oxidoreductase_activity;oxidoreductase_activity,_acting_on_the_CH-OH_group_of_donors,_NAD_or_NADP_as_acceptor
WBGene00017430	bcl-11	mammalian_BCL_(B_cell_lymphoma)_gene_homologs	protein_coding	V	6356025	6362954	+	F13H6.1a;F13H6.1b.1;F13H6.1b.2	6357477;6356475;6356025	6362954;6362106	179019	?;NM_001129441	metal_ion_binding;nucleic_acid_binding;transcription_factor_activity,_sequence-specific_DNA_binding;sequence-specific_DNA_binding;nucleus;multicellular_organism_development;regulation_of_transcription,_DNA-templated;signal_transduction;transcription_from_RNA_polymerase_II_promoter;transcription_regulatory_region_DNA_binding;neurogenesis
WBGene00017431	F13H6.3	Esterase_CM06B1	protein_coding	V	6363407	6365671	-	F13H6.3	6363407	6365671	179020	NM_072220	cytoplasm;extracellular_space;plasma_membrane;cholinesterase_activity;membrane;hydrolase_activity;carboxylic_ester_hydrolase_activity
WBGene00017433	F13H6.5	?	protein_coding	V	6372112	6374933	-	F13H6.5	6372112	6374933	179021	NM_072222	integral_component_of_membrane;membrane
WBGene00017434	F13H8.1	?	protein_coding	II	6283386	6284727	+	F13H8.1a;F13H8.1b	6283386	6284177;6284727	184436	NM_001026910;NM_001026911	?
WBGene00017435	F13H8.2	?	protein_coding	II	6270372	6274005	+	F13H8.2	6270372	6274005	174038	NM_062855	small-subunit_processome;snoRNA_binding;maturation_of_SSU-rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA);Pwp2p-containing_subcomplex_of_90S_preribosome;maturation_of_SSU-rRNA
WBGene00017436	F13H8.3	?	protein_coding	II	6264061	6265508	+	F13H8.3.1;F13H8.3.2	6264061	6265508;6265496	174037	NM_062853	cytosol;purine_nucleoside_catabolic_process;purine_nucleosidase_activity
WBGene00017437	nmgp-1	Neuronal_Membrane_GlycoProtein	protein_coding	II	6260990	6262524	+	F13H8.4	6260990	6262524	184437	NM_062852	integral_component_of_membrane;membrane
WBGene00017438	F13H8.5	?	protein_coding	II	6252774	6256073	-	F13H8.5a;F13H8.5b	6252774	6256073	174035	NM_001267183;NM_001267184	?
WBGene00017440	upb-1	UreidoPropionase_Beta	protein_coding	II	6288413	6290097	-	F13H8.7	6288413	6290097	174040	NM_062860	striated_muscle_dense_body;uracil_catabolic_process;beta-ureidopropionase_activity;beta-alanine_biosynthetic_process_via_3-ureidopropionate;thymine_catabolic_process;hydrolase_activity,_acting_on_carbon-nitrogen_(but_not_peptide)_bonds;nitrogen_compound_metabolic_process
WBGene00017441	F13H8.8	?	protein_coding	II	6265650	6267623	-	F13H8.8	6265650	6267623	184439	NM_062854	?
WBGene00017442	F13H8.9	?	protein_coding	II	6279676	6281102	-	F13H8.9	6279676	6281102	184440	NM_062857	catalytic_activity
WBGene00017443	F13H8.11	?	protein_coding	II	6257633	6259998	-	F13H8.11	6257633	6259998	174036	NM_062851	integral_component_of_membrane;hydrolase_activity,_acting_on_ester_bonds;membrane
WBGene00017445	sid-5	Systemic_RNA_interference_defective_protein_5	protein_coding	X	6904736	6905838	+	F14B8.2	6904736	6905838	184450	?	integral_component_of_membrane;late_endosome;RNA_interference;late_endosome_membrane;RNA_transport;membrane;transport;gene_silencing_by_RNA;endosome
WBGene00017446	F14B8.4	?	protein_coding	X	6898652	6899948	-	F14B8.4	6898652	6899948	184451	NM_076765	?
WBGene00017447	F14B8.5	?	protein_coding	X	6924792	6928704	-	F14B8.5a.1;F14B8.5a.2;F14B8.5b;F14B8.5c.1;F14B8.5c.2;F14B8.5c.3;F14B8.5c.4	6924792	6928666;6928704;6928674;6928698;6928659;6927989	180965	NM_076771;NM_076770	integral_component_of_membrane;membrane
WBGene00017448	F14B8.6	?	protein_coding	X	6929261	6932359	-	F14B8.6	6929261	6932359	180966	?	integral_component_of_membrane;membrane
WBGene00017449	otpl-3	OToPetrin-Like	protein_coding	X	6921648	6924452	-	F14B8.7	6921648	6924452	259710	NM_076769	integral_component_of_membrane;membrane
WBGene00017450	bath-27	BTB_and_MATH_domain_containing	protein_coding	II	3360221	3361414	+	F14D2.1	3360221	3361414	173679	NM_062117	?
WBGene00017451	F14D2.2	?	protein_coding	II	3359139	3360255	+	F14D2.2.1;F14D2.2.2	3359139	3360255;3359929	184453	NM_062116	nucleus
WBGene00017452	bath-29	BTB_and_MATH_domain_containing	protein_coding	II	3350250	3358981	+	F14D2.4a;F14D2.4b	3350250	3358981;3351859	184454	NM_001026914;NM_001026915	?
WBGene00017453	F14D2.5	?	protein_coding	II	3340556	3341260	+	F14D2.5	3340556	3341260	184456	?	?
WBGene00017459	F14D2.11	?	protein_coding	II	3341268	3342116	-	F14D2.11	3341268	3342116	184461	NM_062110	?
WBGene00017460	bath-30	BTB_and_MATH_domain_containing	protein_coding	II	3345280	3346371	-	F14D2.12	3345280	3346371	173678	NM_062111	?
WBGene00017461	bath-28	BTB_and_MATH_domain_containing	protein_coding	II	3343684	3344967	-	F14D2.13a;F14D2.13b	3343763;3343684	3344967	259426	NM_182199;NM_001129133	?
WBGene00017462	F14D2.14	?	protein_coding	II	3346745	3347519	-	F14D2.14	3346745	3347519	3565330	NM_001026912	?
WBGene00017463	F14D12.1	?	protein_coding	X	5603766	5609211	+	F14D12.1a;F14D12.1b	5603766	5608780;5609211	180829	NM_076545;NM_076544	?
WBGene00017464	sulp-2	SULfate_Permease_family	protein_coding	X	5595790	5599330	-	F14D12.5	5595790	5599330	180828	NM_076543	secondary_active_sulfate_transmembrane_transporter_activity;basolateral_plasma_membrane;chloride_channel_activity;integral_component_of_plasma_membrane;chloride_transmembrane_transport;anion:anion_antiporter_activity;regulation_of_intracellular_pH;regulation_of_membrane_potential;sulfate_transmembrane_transporter_activity;oxalate_transmembrane_transporter_activity;bicarbonate_transport;bicarbonate_transmembrane_transporter_activity;membrane;integral_component_of_membrane;transport;transmembrane_transport;non-motile_cilium;sulfate_transport;sulfate_transmembrane_transport;oxalate_transport
WBGene00017466	F14F9.3	?	protein_coding	V	5138195	5141488	+	F14F9.3	5138195	5141488	178902	NM_071974	?
WBGene00017467	F14F9.4	?	protein_coding	V	5132741	5137100	+	F14F9.4	5132741	5137100	178901	NM_071973	?
WBGene00017468	F14F9.5	?	protein_coding	V	5127093	5130081	+	F14F9.5	5127093	5130081	184485	NM_071972	extracellular_region
WBGene00017471	F14H12.3	?	protein_coding	X	4344251	4345650	+	F14H12.3	4344251	4345650	180709	NM_076344	?
WBGene00017472	cst-1	Serine/threonine-protein_kinase_cst-1_Serine/threonine-protein_kinase_cst-1_37kDa_subunit_Serine/threonine-protein_kinase_cst-1_18kDa_subunit	protein_coding	X	4339644	4343700	+	F14H12.4a;F14H12.4b	4339644	4343700;4343636	180708	NM_076342;NM_001029404	?;ATP_binding;cytoplasm;determination_of_adult_lifespan;protein_serine/threonine_kinase_activity;signal_transducer,_downstream_of_receptor,_with_serine/threonine_kinase_activity;muscle_fiber_development;hippo_signaling;protein_kinase_activity;protein_phosphorylation;kinase_activity;phosphorylation;nucleotide_binding;transferase_activity;signal_transduction;regulation_of_apoptotic_process;cellular_component;regulation_of_mitotic_cell_cycle;stress-activated_protein_kinase_signaling_cascade;signal_transduction_by_protein_phosphorylation;activation_of_protein_kinase_activity
WBGene00017473	F14H12.6	?	protein_coding	X	4357057	4357495	-	F14H12.6	4357057	4357495	180711	NM_076347	integral_component_of_membrane;membrane
WBGene00017474	F14H12.7	?	protein_coding	X	4361872	4362287	-	F14H12.7	4361872	4362287	184503	NM_076348	integral_component_of_membrane;membrane
WBGene00017475	F14H12.8	?	protein_coding	X	4363444	4365069	-	F14H12.8	4363444	4365069	184504	?	integral_component_of_membrane;membrane
WBGene00017478	F15A8.6	Carboxylic_ester_hydrolase	protein_coding	X	4430866	4434502	-	F15A8.6	4430866	4434502	180715	NM_076360	extracellular_space;cholinesterase_activity;hydrolase_activity;carboxylic_ester_hydrolase_activity
WBGene00017480	nstp-2	Nucleotide_Sugar_TransPorter_family	protein_coding	IV	6603972	6606188	-	F15B10.1a;F15B10.1b	6603972	6606188;6605886	177424	NM_001047471;NM_001047472	carbohydrate_transport;integral_component_of_endoplasmic_reticulum_membrane;UDP-N-acetylglucosamine_transmembrane_transport;UDP-N-acetylglucosamine_transmembrane_transporter_activity;integral_component_of_Golgi_membrane;GDP-fucose_transmembrane_transporter_activity;UDP-xylose_transmembrane_transporter_activity;GDP-fucose_transport;membrane;integral_component_of_membrane;transport;transmembrane_transport;UDP-xylose_transport
WBGene00017481	F15B10.3	?	protein_coding	IV	6602680	6603977	+	F15B10.3a;F15B10.3b	6602680;6603278	6603977	177423	NM_001306782;NM_068615	?
WBGene00017482	set-9	SET_(trithorax/polycomb)_domain_containing	protein_coding	IV	4307896	4317260	+	F15E6.1	4307896	4317260	177196	NM_068138	zinc_ion_binding;determination_of_adult_lifespan;metal_ion_binding;nucleus;transferase_activity;methyltransferase_activity;methylation;chromatin_binding;histone-lysine_N-methyltransferase_activity;histone_lysine_methylation;mitotic_chromosome_condensation
WBGene00017483	lgc-22	Ligand-Gated_ion_Channel	protein_coding	IV	4301308	4304460	+	F15E6.2a;F15E6.2b	4301308	4304433;4304460	184533	NM_001268330;NM_001268331	integral_component_of_membrane;extracellular_ligand-gated_ion_channel_activity;membrane;ion_transport;ion_transmembrane_transport
WBGene00017484	F15E6.3	RNA_binding_protein;_RRM-type_RNA_binding_protein;_Uncharacterized_protein	protein_coding	IV	4294877	4295685	+	F15E6.3	4294877	4295685	177195	NM_068136	?
WBGene00017485	F15E6.4	?	protein_coding	IV	4291462	4292109	+	F15E6.4	4291462	4292109	177193	NM_068134	?
WBGene00017487	F15E6.6	?	protein_coding	IV	4278871	4284120	-	F15E6.6	4278871	4284120	177192	NM_068130	metal_ion_binding;flavin_adenine_dinucleotide_binding;cytosol;electron_carrier_activity;2_iron,_2_sulfur_cluster_binding;xanthine_dehydrogenase_activity;oxidoreductase_activity,_acting_on_CH-OH_group_of_donors;xanthine_catabolic_process;oxidoreductase_activity,_acting_on_the_aldehyde_or_oxo_group_of_donors;oxidation-reduction_process;catalytic_activity;oxidoreductase_activity;iron_ion_binding;iron-sulfur_cluster_binding
WBGene00017488	dct-7	DAF-16/FOXO_Controlled,_germline_Tumor_affecting	protein_coding	IV	4290296	4290573	-	F15E6.8	4290296	4290573	184536	NM_068133	?
WBGene00017489	F15E6.9	?	protein_coding	IV	4293620	4299083	-	F15E6.9a;F15E6.9b	4293620	4299083	177194	NM_001307354;NM_001307355	?
WBGene00017498	pud-4	Protein_Up-regulated_in_Daf-2(gf)	protein_coding	V	2326678	2327262	+	F15E11.12a;F15E11.12b	2326678	2327262	178712	NM_001307816;NM_001307817	?
WBGene00017501	pud-3	Protein_Up-regulated_in_Daf-2(gf)	protein_coding	V	2324510	2326847	-	F15E11.15a;F15E11.15b	2324510	2326847;2325152	178711	?;NM_001028634	?
WBGene00017503	nhr-177	Nuclear_Hormone_Receptor_family	protein_coding	V	1610335	1612747	+	F16B4.1a;F16B4.1b	1610335;1610406	1612747	184557	NM_071054;NM_001313148	zinc_ion_binding;transcription_factor_activity,_sequence-specific_DNA_binding;sequence-specific_DNA_binding;transcription,_DNA-templated;nucleus;steroid_hormone_mediated_signaling_pathway;metal_ion_binding;regulation_of_transcription,_DNA-templated;DNA_binding
WBGene00017504	F16B4.2	?	protein_coding	V	1601014	1603916	+	F16B4.2a.1;F16B4.2a.2;F16B4.2b.1;F16B4.2b.2	1601038;1601014	1603916	178649	NM_001028638;NM_001028639	?
WBGene00017506	F16B4.4	?	protein_coding	V	1594112	1594665	+	F16B4.4	1594112	1594665	178648	?	?
WBGene00017507	F16B4.5	?	protein_coding	V	1589081	1591727	+	F16B4.5a;F16B4.5b	1591377;1589081	1591727	178647	NM_071049;NM_071048	?
WBGene00017508	F16B4.6	?	protein_coding	V	1587206	1587936	+	F16B4.6a;F16B4.6b	1587206;1587554	1587936	184559	NM_071047	integral_component_of_membrane;membrane
WBGene00017509	F16B4.7	?	protein_coding	V	1585715	1586036	+	F16B4.7	1585715	1586036	178646	NM_071046	?
WBGene00017512	nhr-179	Nuclear_Hormone_Receptor_family	protein_coding	V	1615763	1617942	-	F16B4.11a;F16B4.11b;F16B4.11c;F16B4.11d;F16B4.11e;F16B4.11f;F16B4.11g;F16B4.11h;F16B4.11i;F16B4.11j;F16B4.11k	1615763	1617942;1617598;1617722;1616676	184562	NM_001269071;NR_132507;NM_001313145;NM_001313146;NM_001313147;NR_132504;NR_132508;NR_132505;NR_132509;NR_132506;NR_132510	zinc_ion_binding;transcription_factor_activity,_sequence-specific_DNA_binding;sequence-specific_DNA_binding;transcription,_DNA-templated;nucleus;steroid_hormone_mediated_signaling_pathway;metal_ion_binding;regulation_of_transcription,_DNA-templated;DNA_binding
WBGene00017513	F16F9.1	?	protein_coding	X	8447274	8450406	+	F16F9.1	8447274	8450406	184573	?	integral_component_of_membrane;membrane
WBGene00017515	F16F9.4	?	protein_coding	X	8459822	8463330	-	F16F9.4	8459822	8463330	184575	NM_077036	integral_component_of_membrane;metabolic_process;carboxylic_ester_hydrolase_activity;membrane;hydrolase_activity;catabolic_process
WBGene00017530	F16H11.1	?	protein_coding	X	4668088	4673246	+	F16H11.1	4668088	4673246	180739	NM_076398	integral_component_of_membrane;membrane
WBGene00017532	ent-5	Equilibrative_Nucleoside_Transporter	protein_coding	X	4647523	4649194	-	F16H11.3	4647523	4649194	184599	NM_076394	integral_component_of_membrane;nucleoside_transmembrane_transporter_activity;membrane;transport;nucleoside_transmembrane_transport
WBGene00017534	F17A9.2	CWF19-like_protein_1_homolog	protein_coding	V	6107828	6114856	+	F17A9.2	6107828	6114856	179000	NM_072176	catalytic_activity
WBGene00017535	atf-8	ATF_(cAMP-dependent_transcription_factor)_family	protein_coding	V	6105675	6107531	+	F17A9.3	6105675	6107531	178998	NM_072175	nucleus;RNA_polymerase_II_regulatory_region_sequence-specific_DNA_binding;multicellular_organism_development;transcriptional_activator_activity,_RNA_polymerase_II_core_promoter_proximal_region_sequence-specific_binding;transcription_factor_activity,_sequence-specific_DNA_binding;regulation_of_transcription,_DNA-templated;positive_regulation_of_transcription_from_RNA_polymerase_II_promoter;transcription_from_RNA_polymerase_II_promoter
WBGene00017536	F17A9.4	?	protein_coding	V	6108961	6110709	-	F17A9.4	6108961	6110709	178999	NM_072177	intracellular;oxidation-reduction_process;FMN_binding;NADPH_dehydrogenase_activity;catalytic_activity;oxidoreductase_activity
WBGene00017537	F17A9.5	?	protein_coding	V	6111021	6112965	-	F17A9.5	6111021	6112965	184611	NM_072178	intracellular;oxidation-reduction_process;FMN_binding;NADPH_dehydrogenase_activity;catalytic_activity;oxidoreductase_activity
WBGene00017538	ceh-49	One_cut_domain_family_member	protein_coding	V	6118332	6120201	-	F17A9.6	6118332	6120201	179001	NM_072180	nucleus;DNA_binding;cell_differentiation;system_development;transcriptional_activator_activity,_RNA_polymerase_II_core_promoter_proximal_region_sequence-specific_binding;transcription,_DNA-templated;regulation_of_transcription,_DNA-templated;positive_regulation_of_transcription_from_RNA_polymerase_II_promoter;transcription_from_RNA_polymerase_II_promoter
WBGene00017539	F17E9.2	?	protein_coding	IV	8355907	8356503	+	F17E9.2	8355907	8356503	184618	NM_069014	?
WBGene00017540	F17E9.3	?	protein_coding	IV	8354874	8355458	+	F17E9.3	8354874	8355458	184619	NM_069013	defense_response_to_Gram-negative_bacterium
WBGene00017541	F17E9.4	?	protein_coding	IV	8348373	8349170	+	F17E9.4	8348373	8349170	177630	NM_069012	?
WBGene00017542	F17E9.5	?	protein_coding	IV	8345818	8346546	+	F17E9.5	8345818	8346546	177629	NM_069011	integral_component_of_membrane;membrane;protein_binding
WBGene00017546	rpa-1	Probable_replication_factor_A_73_kDa_subunit	protein_coding	II	7664582	7667111	+	F18A1.5	7664582	7667111	174238	NM_063205	metal_ion_binding;nucleus;DNA_repair;DNA_replication;DNA_recombination;nucleoplasm;single-stranded_DNA_binding;enzyme_binding;DNA_replication_factor_A_complex;positive_regulation_of_helicase_activity;DNA_binding;nucleic_acid_binding;protein_binding
WBGene00017547	alfa-1	ALS/FTD_Associated_gene_homolog	protein_coding	II	7658324	7662522	-	F18A1.6a;F18A1.6b.1;F18A1.6b.2	7658324	7662130;7662288;7662522	174236	NM_063203;NM_063202	?;endosome;endocytosis;autophagosome;autophagy
WBGene00017548	F18A1.7	?	protein_coding	II	7662703	7663754	-	F18A1.7	7662703	7663754	174237	NM_063204	?
WBGene00017549	pid-1	21U-RNA_biogenesis_factor_pid-1	protein_coding	II	7689675	7690556	-	F18A1.8	7689675	7690556	184627	NM_063212	cytoplasm;nucleus
WBGene00017557	nep-11	Neprilysin-11	protein_coding	II	3420666	3425532	-	F18A12.8a;F18A12.8b	3420666	3425532	173685	NM_062137;NM_182128	integral_component_of_membrane;metalloendopeptidase_activity;metal_ion_binding;plasma_membrane;membrane;hydrolase_activity;peptidase_activity;metallopeptidase_activity;proteolysis
WBGene00017559	mpz-3	Multiple_PDZ_domain_protein	protein_coding	II	6563796	6565154	-	F18C5.4	6563796	6565154	174083	NM_062924	?
WBGene00017563	F18C5.10	?	protein_coding	II	6559259	6561460	-	F18C5.10.1;F18C5.10.2	6559259	6561444;6561460	174082	?	integral_component_of_membrane;membrane
WBGene00017565	ddo-2	D-aspartate_oxidase_2	protein_coding	V	7433401	7435032	-	F18E3.7a;F18E3.7b	7433465;7433401	7435032;7433951	179130	NM_072507	cytoplasm;oxidation-reduction_process;D-glutamate_oxidase_activity;D-aspartate_oxidase_activity;D-amino_acid_metabolic_process;FAD_binding;oxidoreductase_activity;D-amino-acid_oxidase_activity
WBGene00017567	F18E3.11	?	protein_coding	V	7413437	7413840	+	F18E3.11	7413437	7413840	259628	?	?
WBGene00017569	F18E9.3	?	protein_coding	X	8586166	8590365	+	F18E9.3	8586166	8590365	181112	NM_077054	?
WBGene00017570	F18E9.4	?	protein_coding	X	8580656	8583554	+	F18E9.4	8580656	8583554	184648	NM_077053	?
WBGene00017571	jmjd-3.1	JuMonJi_(transcription_factor)_Domain_protein	protein_coding	X	8571049	8575442	+	F18E9.5a;F18E9.5b	8571315;8571049	8575442	181111	NM_077051;NM_077050	histone_H3-K27_demethylation;histone_demethylase_activity_(H3-K27_specific);nucleus;transdifferentiation;metal_ion_binding;oxidoreductase_activity;oxidation-reduction_process;covalent_chromatin_modification;dioxygenase_activity
WBGene00017574	F18F11.1	?	protein_coding	IV	334803	337178	-	F18F11.1	334803	337178	184650	NM_067506	integral_component_of_membrane;membrane
WBGene00017578	drl-1	Dietary_Restriction_Like	protein_coding	IV	325076	330648	+	F18F11.5	325076	330648	3565236	NM_001027963	integral_component_of_membrane;ATP_binding;cytoplasm;signal_transducer,_downstream_of_receptor,_with_serine/threonine_kinase_activity;membrane;protein_kinase_activity;protein_phosphorylation
WBGene00017582	F18G5.6	?	protein_coding	X	9262059	9264331	-	F18G5.6	9262059	9264331	184656	?	innate_immune_response
WBGene00017583	F19B10.1	?	protein_coding	II	3683177	3684996	+	F19B10.1	3683177	3684996	173713	?	?
WBGene00017584	F19B10.2	?	protein_coding	II	3675624	3676737	+	F19B10.2	3675624	3676737	173711	NM_062211	?
WBGene00017586	F19B10.4	?	protein_coding	II	3660084	3662006	+	F19B10.4	3660084	3662006	184669	NM_062205	?
WBGene00017589	F19B10.10	?	protein_coding	II	3677535	3681415	-	F19B10.10.1;F19B10.10.2	3677535	3681415;3680439	173712	NM_062212	ubiquitin_protein_ligase_activity;protein_polyubiquitination;protein_ubiquitination_involved_in_ubiquitin-dependent_protein_catabolic_process;proteasome-mediated_ubiquitin-dependent_protein_catabolic_process
WBGene00017591	F19C7.1	?	protein_coding	IV	4605786	4608216	+	F19C7.1	4605786	4608216	177224	NM_068196	innate_immune_response
WBGene00017592	F19C7.2	?	protein_coding	IV	4599954	4602776	+	F19C7.2	4599954	4602776	184678	NM_068194	proteolysis;serine-type_carboxypeptidase_activity;dipeptidyl-peptidase_activity;serine-type_peptidase_activity
WBGene00017593	F19C7.3	?	protein_coding	IV	4597195	4599002	+	F19C7.3	4597195	4599002	184679	NM_068193	?
WBGene00017594	F19C7.4	?	protein_coding	IV	4603107	4605670	+	F19C7.4	4603107	4605670	184680	NM_068195	proteolysis;serine-type_carboxypeptidase_activity;dipeptidyl-peptidase_activity;serine-type_peptidase_activity
WBGene00017597	F19C7.8	?	protein_coding	IV	4610576	4638095	-	F19C7.8a;F19C7.8b;F19C7.8c;F19C7.8d;F19C7.8e	4610576	4624118;4618791;4613219;4626461;4638095	177226	NM_171322;NM_171323;NM_001307400;NM_001307401	?
WBGene00017598	F19F10.1	?	protein_coding	V	7562714	7564245	+	F19F10.1	7562714	7564245	184684	NM_072548	sequence-specific_DNA_binding;nucleus;negative_regulation_of_transcription_from_RNA_polymerase_II_promoter;RNA_polymerase_II_transcription_factor_activity,_sequence-specific_DNA_binding;cell_differentiation;cell_fate_determination;negative_regulation_of_cell_differentiation;regulation_of_transcription_from_RNA_polymerase_II_promoter;transcription_factor_activity,_sequence-specific_DNA_binding;regulation_of_transcription,_DNA-templated;DNA_binding
WBGene00017599	F19F10.3	?	protein_coding	V	7552155	7552679	+	F19F10.3	7552155	7552679	184685	NM_072544	?
WBGene00017600	ttr-10	TransThyretin-Related_family_domain	protein_coding	V	7552895	7553923	-	F19F10.4	7552895	7553923	184686	NM_072545	extracellular_space
WBGene00017605	F19F10.9	?	protein_coding	V	7571945	7575674	-	F19F10.9	7571945	7575674	179140	NM_072551	U4/U6_x_U5_tri-snRNP_complex;mRNA_cis_splicing,_via_spliceosome;spliceosomal_snRNP_assembly;maturation_of_5S_rRNA;mRNA_splicing,_via_spliceosome
WBGene00017606	ets-6	ETS_class_transcription_factor	protein_coding	V	7577529	7580520	-	F19F10.10	7577529	7580520	179141	NM_072553	nucleic_acid_binding
WBGene00017607	F19F10.11	?	protein_coding	V	7581473	7587598	-	F19F10.11a;F19F10.11b	7581473;7582429	7587598	179143	NM_072554;NM_072555	nucleic_acid_binding
WBGene00017608	F19F10.12	?	protein_coding	V	7575764	7581532	+	F19F10.12	7575764	7581532	179142	NM_072552	integrator_complex;snRNA_processing;catalytic_activity
WBGene00017611	F19G12.3	?	protein_coding	X	1425727	1426164	+	F19G12.3	1425727	1426164	184693	NM_075867	?
WBGene00017613	F20A1.1	?	protein_coding	V	7051702	7052183	+	F20A1.1	7051702	7052183	179090	NM_072386	?
WBGene00017614	F20A1.2	?	protein_coding	V	7046312	7049250	+	F20A1.2	7046312	7049250	184704	NM_072383	integral_component_of_membrane;membrane
WBGene00017618	F20A1.6	?	protein_coding	V	7024632	7027083	-	F20A1.6a;F20A1.6b;F20A1.6c	7024632;7024669;7026205	7027083;7027080	179087	NM_001028648;NM_001028649;NM_001269150	?
WBGene00017620	tofu-2	Twenty_One_u-rna_(21U-RNA)_biogenesis_Fouled_Up	protein_coding	V	7049434	7051291	-	F20A1.9	7049434	7051291	179089	NM_072385	ATP_binding
WBGene00017621	F20A1.10	?	protein_coding	V	7052716	7053202	-	F20A1.10	7052716	7053202	184707	NM_072387	?
WBGene00017625	cgt-2	Ceramide_glucosyltransferase_2	protein_coding	X	17695232	17701744	+	F20B4.6	17695232	17701744	181790	NM_078456	integral_component_of_membrane;membrane;glucosylceramide_biosynthetic_process;ceramide_glucosyltransferase_activity;transferase_activity;transferase_activity,_transferring_glycosyl_groups;lipid_metabolic_process;sphingolipid_metabolic_process
WBGene00017635	F20D6.5	?	protein_coding	V	8161989	8165444	+	F20D6.5	8161989	8165444	184724	NM_072703	?
WBGene00017637	F20D6.8	?	protein_coding	V	8164760	8168269	-	F20D6.8	8164760	8168269	184726	?	membrane;intracellular;GTP_binding;small_GTPase_mediated_signal_transduction;nucleotide_binding;GTPase_activity;signal_transduction
WBGene00017639	F20D6.10	?	protein_coding	V	8192060	8195802	-	F20D6.10	8192060	8195802	184728	NM_072710	integral_component_of_membrane;membrane
WBGene00017640	F20D6.11	?	protein_coding	V	8196770	8199094	-	F20D6.11	8196770	8199094	179196	NM_072711	oxidoreductase_activity;endoplasmic_reticulum;metal_ion_binding;mitochondrion;flavin_adenine_dinucleotide_binding;cell_redox_homeostasis;mitochondrial_inner_membrane;execution_phase_of_apoptosis;2_iron,_2_sulfur_cluster_binding;oxidation-reduction_process
WBGene00017641	csr-1	Chromosome-Segregation_and_RNAi_deficient	protein_coding	IV	7957580	7962121	+	F20D12.1a;F20D12.1b	7957580;7958613	7962121	177591	NM_001047473;NM_001047474	nucleus;nucleic_acid_binding;mitotic_sister_chromatid_segregation;P_granule;RNA_interference;metaphase_plate;condensed_nuclear_chromosome;mRNA_cleavage;endoribonuclease_activity,_cleaving_siRNA-paired_mRNA;P_granule_assembly;RNA_phosphodiester_bond_hydrolysis,_endonucleolytic
WBGene00017642	F20D12.2	?	protein_coding	IV	7948674	7953580	+	F20D12.2	7948674	7953580	177589	NM_068927	?
